Files already downloaded and verified
Files already downloaded and verified
[(0, 3), (1, 3), (2, 2), (3, 2)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  22, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.450, TAw acc= 89.9% |
| Epoch  23, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.424, TAw acc= 90.7% |
| Epoch  24, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.466, TAw acc= 89.3% |
| Epoch  25, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.433, TAw acc= 90.9% |
| Epoch  26, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.424, TAw acc= 90.7% | lr=1.1e-02
| Epoch  27, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.414, TAw acc= 90.1% | *
| Epoch  28, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.411, TAw acc= 90.7% | *
| Epoch  29, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.410, TAw acc= 90.6% | *
| Epoch  30, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.402, TAw acc= 90.7% | *
| Epoch  31, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.417, TAw acc= 90.7% |
| Epoch  32, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.398, TAw acc= 91.4% | *
| Epoch  33, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.412, TAw acc= 90.8% |
| Epoch  34, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.390, TAw acc= 91.8% | *
| Epoch  35, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.394, TAw acc= 91.7% |
| Epoch  36, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.402, TAw acc= 91.2% |
| Epoch  37, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.389, TAw acc= 91.7% | *
| Epoch  38, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.387, TAw acc= 91.4% | *
| Epoch  39, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.399, TAw acc= 90.9% |
| Epoch  40, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.387, TAw acc= 92.3% |
| Epoch  41, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.375, TAw acc= 91.9% | *
| Epoch  42, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.381, TAw acc= 92.1% |
| Epoch  43, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.384, TAw acc= 92.0% |
| Epoch  44, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.382, TAw acc= 91.9% |
| Epoch  45, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.378, TAw acc= 92.2% |
| Epoch  46, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.379, TAw acc= 92.2% | lr=3.7e-03
| Epoch  47, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.373, TAw acc= 92.2% | *
| Epoch  48, time= 11.9s | Train: skip eval | Valid: time=  6.3s loss=1.371, TAw acc= 92.1% | *
| Epoch  49, time= 11.9s | Train: skip eval | Valid: time=  6.2s loss=1.380, TAw acc= 91.7% |
| Epoch  50, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.383, TAw acc= 92.0% |
| Epoch  51, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.372, TAw acc= 92.2% |
| Epoch  52, time= 12.0s | Train: skip eval | Valid: time=  6.5s loss=1.380, TAw acc= 92.0% |
| Epoch  53, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.376, TAw acc= 92.1% | lr=1.2e-03
| Epoch  54, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.370, TAw acc= 92.3% | *
| Epoch  55, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.372, TAw acc= 92.6% |
| Epoch  56, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.367, TAw acc= 92.5% | *
| Epoch  57, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.370, TAw acc= 92.3% |
| Epoch  58, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.370, TAw acc= 92.5% |
| Epoch  59, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.372, TAw acc= 92.2% |
| Epoch  60, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.370, TAw acc= 92.4% |
| Epoch  61, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.368, TAw acc= 92.3% | lr=4.1e-04
| Epoch  62, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.372, TAw acc= 92.5% |
| Epoch  63, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.369, TAw acc= 92.4% |
| Epoch  64, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.369, TAw acc= 92.5% |
| Epoch  65, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.370, TAw acc= 92.3% |
| Epoch  66, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.371, TAw acc= 92.5% | lr=1.4e-04
| Epoch  67, time= 11.9s | Train: skip eval | Valid: time=  6.4s loss=1.373, TAw acc= 92.5% |
| Epoch  68, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=1.369, TAw acc= 92.3% |
| Epoch  69, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.368, TAw acc= 92.8% |
| Epoch  70, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=1.370, TAw acc= 92.4% |
| Epoch  71, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=1.370, TAw acc= 92.3% | lr=4.6e-05
| Selected 600 train exemplars, time=  0.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.888 | TAw acc= 90.4%, forg=  0.4%| TAg acc= 66.6%, forg= 24.3% <<<
>>> Test on task  1 : loss=1.395 | TAw acc= 90.9%, forg=  0.0%| TAg acc= 85.1%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar10_icarl
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=2.316, TAw acc= 79.3% | *
| Epoch   2, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.132, TAw acc= 87.5% | *
| Epoch   3, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.236, TAw acc= 81.5% |
| Epoch   4, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.106, TAw acc= 86.9% | *
| Epoch   5, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.169, TAw acc= 87.0% |
| Epoch   6, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.142, TAw acc= 87.6% |
| Epoch   7, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.117, TAw acc= 88.4% |
| Epoch   8, time= 10.2s | Train: skip eval | Valid: time=  6.4s loss=2.061, TAw acc= 89.5% | *
| Epoch   9, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.151, TAw acc= 88.0% |
| Epoch  10, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.141, TAw acc= 86.3% |
| Epoch  11, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.095, TAw acc= 88.1% |
| Epoch  12, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.057, TAw acc= 89.9% | *
| Epoch  13, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.206, TAw acc= 87.4% |
| Epoch  14, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.281, TAw acc= 80.9% |
| Epoch  15, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.061, TAw acc= 89.5% |
| Epoch  16, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.254, TAw acc= 85.2% |
| Epoch  17, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.065, TAw acc= 89.3% | lr=3.3e-02
| Epoch  18, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.001, TAw acc= 89.7% | *
| Epoch  19, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.014, TAw acc= 89.8% |
| Epoch  20, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.018, TAw acc= 89.9% |
| Epoch  21, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.005, TAw acc= 90.2% |
| Epoch  22, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=2.079, TAw acc= 86.0% |
| Epoch  23, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.027, TAw acc= 90.8% | lr=1.1e-02
| Epoch  24, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.006, TAw acc= 90.2% |
| Epoch  25, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.998, TAw acc= 91.0% | *
| Epoch  26, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.003, TAw acc= 90.4% |
| Epoch  27, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.011, TAw acc= 90.2% |
| Epoch  28, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=2.001, TAw acc= 90.2% |
| Epoch  29, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.998, TAw acc= 90.3% | *
| Epoch  30, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=1.982, TAw acc= 91.0% | *
