Files already downloaded and verified
Files already downloaded and verified
[(0, 17), (1, 17), (2, 17), (3, 17), (4, 16), (5, 16)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time= 12.0s | Train: skip eval | Valid: time=  6.2s loss=15.684, TAw acc= 62.0% |
| Epoch  57, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.677, TAw acc= 60.7% |
| Epoch  58, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=15.692, TAw acc= 61.6% |
| Epoch  59, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.680, TAw acc= 61.1% |
| Epoch  60, time= 12.1s | Train: skip eval | Valid: time=  6.4s loss=15.700, TAw acc= 60.8% | lr=1.4e-04
| Epoch  61, time= 12.0s | Train: skip eval | Valid: time=  6.3s loss=15.684, TAw acc= 60.8% |
| Epoch  62, time= 12.1s | Train: skip eval | Valid: time=  6.4s loss=15.686, TAw acc= 61.9% |
| Epoch  63, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=15.690, TAw acc= 60.9% |
| Epoch  64, time= 12.1s | Train: skip eval | Valid: time=  6.3s loss=15.688, TAw acc= 60.7% |
| Epoch  65, time= 12.0s | Train: skip eval | Valid: time=  6.4s loss=15.698, TAw acc= 61.3% | lr=4.6e-05
| Selected 5100 train exemplars, time=  0.4s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.659 | TAw acc= 57.0%, forg= -1.4%| TAg acc= 46.5%, forg=  8.5% <<<
>>> Test on task  1 : loss=9.657 | TAw acc= 67.4%, forg= -0.3%| TAg acc= 48.8%, forg=  6.1% <<<
>>> Test on task  2 : loss=15.638 | TAw acc= 53.9%, forg=  0.0%| TAg acc= 37.4%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  3
************************************************************************************************************
| Epoch   1, time= 13.7s | Train: skip eval | Valid: time=  6.3s loss=24.186, TAw acc= 44.9% | *
| Epoch   2, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=25.488, TAw acc= 46.1% |
| Epoch   3, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=25.386, TAw acc= 50.1% |
| Epoch   4, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=24.824, TAw acc= 46.7% |
| Epoch   5, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=24.367, TAw acc= 50.6% |
| Epoch   6, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=28.081, TAw acc= 40.7% | lr=3.3e-02
| Epoch   7, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.357, TAw acc= 50.8% | *
| Epoch   8, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.287, TAw acc= 52.7% | *
| Epoch   9, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.438, TAw acc= 51.4% |
| Epoch  10, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.247, TAw acc= 52.8% | *
| Epoch  11, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.322, TAw acc= 52.7% |
| Epoch  12, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=22.621, TAw acc= 51.2% |
| Epoch  13, time= 13.7s | Train: skip eval | Valid: time=  6.3s loss=22.114, TAw acc= 53.6% | *
| Epoch  14, time= 13.5s | Train: skip eval | Valid: time=  6.3s loss=73.532, TAw acc= 27.9% |
