Files already downloaded and verified
Files already downloaded and verified
[(0, 13), (1, 13), (2, 13), (3, 13), (4, 12), (5, 12), (6, 12), (7, 12)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.599, TAw acc= 72.2% |
| Epoch  57, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.569, TAw acc= 72.5% | *
| Epoch  58, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.583, TAw acc= 72.3% |
| Epoch  59, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.551, TAw acc= 73.8% | *
| Epoch  60, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.569, TAw acc= 72.3% |
| Epoch  61, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.601, TAw acc= 71.7% |
| Epoch  62, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.571, TAw acc= 73.1% |
| Epoch  63, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.602, TAw acc= 71.7% |
| Epoch  64, time=  9.3s | Train: skip eval | Valid: time=  6.2s loss=6.575, TAw acc= 72.2% | lr=1.2e-03
| Epoch  65, time=  9.4s | Train: skip eval | Valid: time=  6.1s loss=6.587, TAw acc= 71.7% |
| Epoch  66, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.599, TAw acc= 71.1% |
| Epoch  67, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.608, TAw acc= 71.1% |
| Epoch  68, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.574, TAw acc= 72.5% |
| Epoch  69, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.588, TAw acc= 71.8% | lr=4.1e-04
| Epoch  70, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.591, TAw acc= 71.8% |
| Epoch  71, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.580, TAw acc= 72.2% |
| Epoch  72, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.600, TAw acc= 71.7% |
| Epoch  73, time=  9.2s | Train: skip eval | Valid: time=  6.1s loss=6.596, TAw acc= 71.5% |
| Epoch  74, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.586, TAw acc= 72.5% | lr=1.4e-04
| Epoch  75, time=  9.4s | Train: skip eval | Valid: time=  6.1s loss=6.584, TAw acc= 72.6% |
| Epoch  76, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.577, TAw acc= 72.9% |
| Epoch  77, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.590, TAw acc= 72.3% |
| Epoch  78, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.585, TAw acc= 72.0% |
| Epoch  79, time=  9.3s | Train: skip eval | Valid: time=  6.1s loss=6.571, TAw acc= 72.8% | lr=4.6e-05
| Selected 2600 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=2.372 | TAw acc= 62.5%, forg= -1.8%| TAg acc= 52.5%, forg=  8.3% <<<
>>> Test on task  1 : loss=6.585 | TAw acc= 70.9%, forg=  0.0%| TAg acc= 55.5%, forg=  0.0% <<<
Save at C:\Users\Erik\Desktop\hopp\cifar100_icarl
************************************************************************************************************
Task  2
************************************************************************************************************
| Epoch   1, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=16058693.437, TAw acc=  7.7% | *
| Epoch   2, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=39.257, TAw acc=  7.7% | *
| Epoch   3, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=6541472115135.409, TAw acc=  7.7% |
| Epoch   4, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=17242375.182, TAw acc=  7.7% |
| Epoch   5, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=3844610.505, TAw acc=  7.7% |
| Epoch   6, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=27.481, TAw acc=  8.3% | *
| Epoch   7, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=19.723, TAw acc= 14.9% | *
| Epoch   8, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=2491.401, TAw acc=  7.7% |
| Epoch   9, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=354.923, TAw acc=  7.1% |
| Epoch  10, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=361.535, TAw acc= 12.5% |
| Epoch  11, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=419.813, TAw acc=  8.0% |
| Epoch  12, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=269.120, TAw acc=  8.6% | lr=3.3e-02
| Epoch  13, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=24.127, TAw acc=  7.7% |
| Epoch  14, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=28.041, TAw acc= 25.5% |
| Epoch  15, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=17.259, TAw acc= 29.5% | *
| Epoch  16, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=1064.076, TAw acc=  7.8% |
| Epoch  17, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=110.027, TAw acc= 10.9% |
| Epoch  18, time= 10.6s | Train: skip eval | Valid: time=  6.2s loss=51.868, TAw acc= 19.4% |
| Epoch  19, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=4155.947, TAw acc=  7.8% |
| Epoch  20, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=2796.217, TAw acc=  9.2% | lr=1.1e-02
| Epoch  21, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=207.803, TAw acc= 12.3% |
| Epoch  22, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=1425.693, TAw acc=  5.7% |
| Epoch  23, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=215.866, TAw acc= 10.6% |
| Epoch  24, time= 10.4s | Train: skip eval | Valid: time=  6.2s loss=336.437, TAw acc= 18.0% |
| Epoch  25, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=486.621, TAw acc=  8.0% | lr=3.7e-03
| Epoch  26, time= 10.3s | Train: skip eval | Valid: time=  6.2s loss=16.821, TAw acc= 34.0% | *
| Epoch  27, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=34.912, TAw acc=  9.8% |
| Epoch  28, time= 10.2s | Train: skip eval | Valid: time=  6.1s loss=16.782, TAw acc= 26.9% | *
| Epoch  29, time= 10.2s | Train: skip eval | Valid: time=  6.2s loss=289.938, TAw acc= 10.5% |
| Epoch  30, time= 10.4s | Train: skip eval | Valid: time=  6.3s loss=21.288, TAw acc= 20.8% |
| Epoch  31, time= 10.3s | Train: skip eval | Valid: time=  6.1s loss=19.594, TAw acc= 19.5% |
