Files already downloaded and verified
Files already downloaded and verified
[(0, 20), (1, 20), (2, 20), (3, 20), (4, 20)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch   2, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=25.880, TAw acc= 29.4% | *
| Epoch   3, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=753.086, TAw acc=  4.1% |
| Epoch   4, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=27.401, TAw acc= 34.3% |
| Epoch   5, time= 13.2s | Train: skip eval | Valid: time=  6.4s loss=480.061, TAw acc= 10.5% |
| Epoch   6, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=21.349, TAw acc= 46.1% | *
| Epoch   7, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=22.207, TAw acc= 38.9% |
| Epoch   8, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=22.305, TAw acc= 40.3% |
| Epoch   9, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=28.785, TAw acc= 36.5% |
| Epoch  10, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=26.918, TAw acc= 42.6% |
| Epoch  11, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=112.438, TAw acc= 31.4% | lr=3.3e-02
| Epoch  12, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.581, TAw acc= 55.5% | *
| Epoch  13, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.717, TAw acc= 56.3% |
| Epoch  14, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=18.730, TAw acc= 56.5% |
| Epoch  15, time= 13.2s | Train: skip eval | Valid: time=  6.2s loss=18.540, TAw acc= 56.6% | *
| Epoch  16, time= 13.1s | Train: skip eval | Valid: time=  6.4s loss=18.400, TAw acc= 56.9% | *
| Epoch  17, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=23.192, TAw acc= 42.6% |
| Epoch  18, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=19.820, TAw acc= 53.4% |
| Epoch  19, time= 13.3s | Train: skip eval | Valid: time=  6.3s loss=20.666, TAw acc= 50.7% |
| Epoch  20, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=19.433, TAw acc= 53.6% |
| Epoch  21, time= 13.2s | Train: skip eval | Valid: time=  6.3s loss=29.685, TAw acc= 33.4% | lr=1.1e-02
| Epoch  22, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.216, TAw acc= 59.7% | *
| Epoch  23, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=19.254, TAw acc= 54.2% |
| Epoch  24, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.116, TAw acc= 60.2% | *
| Epoch  25, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.102, TAw acc= 59.5% | *
| Epoch  26, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=18.119, TAw acc= 58.2% |
| Epoch  27, time= 13.1s | Train: skip eval | Valid: time=  6.3s loss=18.238, TAw acc= 57.5% |
| Epoch  28, time= 13.1s | Train: skip eval | Valid: time=  6.2s loss=18.034, TAw acc= 60.8% | *
